Current Reserves,Current Demand,Current Capacity,Time Stamp
"4,626 MW","54,677 MW","65,749 MW",2021-07-16 10:21:29
"4,629 MW","54,677 MW","65,749 MW",2021-07-16 10:21:39
"4,631 MW","54,677 MW","65,749 MW",2021-07-16 10:21:49
"4,628 MW","54,677 MW","65,749 MW",2021-07-16 10:22:00
"4,628 MW","54,677 MW","65,749 MW",2021-07-16 10:22:10
"4,631 MW","54,677 MW","65,749 MW",2021-07-16 10:22:20
"4,631 MW","54,677 MW","65,749 MW",2021-07-16 10:22:30
"4,638 MW","54,677 MW","65,749 MW",2021-07-16 10:22:40
"4,646 MW","54,677 MW","65,749 MW",2021-07-16 10:22:50
"4,651 MW","54,677 MW","65,749 MW",2021-07-16 10:23:00
"4,643 MW","54,677 MW","65,749 MW",2021-07-16 10:23:10
"4,641 MW","54,677 MW","65,749 MW",2021-07-16 10:23:20
"4,641 MW","54,677 MW","65,749 MW",2021-07-16 10:23:30
"4,640 MW","54,677 MW","65,749 MW",2021-07-16 10:23:40
"4,643 MW","54,677 MW","65,749 MW",2021-07-16 10:23:50
"4,650 MW","54,677 MW","65,749 MW",2021-07-16 10:24:00
"4,650 MW","54,677 MW","65,749 MW",2021-07-16 10:24:10
"4,653 MW","54,677 MW","65,749 MW",2021-07-16 10:24:20
"4,653 MW","54,677 MW","65,749 MW",2021-07-16 10:24:30
"4,657 MW","54,677 MW","65,749 MW",2021-07-16 10:24:40
"4,660 MW","54,677 MW","65,749 MW",2021-07-16 10:24:50
"4,663 MW","54,677 MW","65,749 MW",2021-07-16 10:25:00
"4,663 MW","54,677 MW","65,749 MW",2021-07-16 10:25:11
"4,663 MW","54,677 MW","65,749 MW",2021-07-16 10:25:21
"4,663 MW","54,677 MW","65,749 MW",2021-07-16 10:25:31
"4,660 MW","54,677 MW","65,749 MW",2021-07-16 10:25:41
"4,662 MW","54,677 MW","65,749 MW",2021-07-16 10:25:51
"4,663 MW","54,677 MW","65,749 MW",2021-07-16 10:26:01
"4,663 MW","54,677 MW","65,749 MW",2021-07-16 10:26:11
"4,665 MW","54,677 MW","65,749 MW",2021-07-16 10:26:21
"4,666 MW","54,881 MW","66,265 MW",2021-07-16 10:26:31
"4,675 MW","54,881 MW","66,265 MW",2021-07-16 10:26:41
"4,675 MW","54,881 MW","66,265 MW",2021-07-16 10:26:51
"4,675 MW","54,881 MW","66,265 MW",2021-07-16 10:27:01
"4,675 MW","54,881 MW","66,265 MW",2021-07-16 10:27:11
"4,666 MW","54,881 MW","66,265 MW",2021-07-16 10:27:21
"4,666 MW","54,881 MW","66,265 MW",2021-07-16 10:27:31
"4,666 MW","54,881 MW","66,265 MW",2021-07-16 10:27:41
"4,666 MW","54,881 MW","66,265 MW",2021-07-16 10:27:51
"4,666 MW","54,881 MW","66,265 MW",2021-07-16 10:28:01
"4,666 MW","54,881 MW","66,265 MW",2021-07-16 10:28:11
"4,665 MW","54,881 MW","66,265 MW",2021-07-16 10:28:21
"4,665 MW","54,881 MW","66,265 MW",2021-07-16 10:28:32
"4,665 MW","54,881 MW","66,265 MW",2021-07-16 10:28:42
"4,665 MW","54,881 MW","66,265 MW",2021-07-16 10:28:52
"4,665 MW","54,881 MW","66,265 MW",2021-07-16 10:29:02
"4,665 MW","54,881 MW","66,265 MW",2021-07-16 10:29:12
"4,688 MW","54,881 MW","66,265 MW",2021-07-16 10:29:22
"4,688 MW","54,881 MW","66,265 MW",2021-07-16 10:29:32
"4,688 MW","54,881 MW","66,265 MW",2021-07-16 10:29:42
"4,688 MW","54,881 MW","66,265 MW",2021-07-16 10:29:52
"4,688 MW","54,881 MW","66,265 MW",2021-07-16 10:30:02
"4,688 MW","54,881 MW","66,265 MW",2021-07-16 10:30:12
"4,773 MW","54,881 MW","66,265 MW",2021-07-16 10:30:22
"4,773 MW","54,881 MW","66,265 MW",2021-07-16 10:30:32
"4,773 MW","54,881 MW","66,265 MW",2021-07-16 10:30:42
"4,773 MW","54,881 MW","66,265 MW",2021-07-16 10:30:52
"4,773 MW","54,881 MW","66,265 MW",2021-07-16 10:31:02
"4,773 MW","54,881 MW","66,265 MW",2021-07-16 10:31:12
"4,743 MW","54,881 MW","66,265 MW",2021-07-16 10:31:22
"4,743 MW","54,906 MW","66,359 MW",2021-07-16 10:31:32
"4,743 MW","54,906 MW","66,359 MW",2021-07-16 10:31:42
"4,743 MW","54,906 MW","66,359 MW",2021-07-16 10:31:52
"4,743 MW","54,906 MW","66,359 MW",2021-07-16 10:32:02
"4,743 MW","54,906 MW","66,359 MW",2021-07-16 10:32:12
"4,751 MW","54,906 MW","66,359 MW",2021-07-16 10:32:23
"4,751 MW","54,906 MW","66,359 MW",2021-07-16 10:32:33
"4,751 MW","54,906 MW","66,359 MW",2021-07-16 10:32:43
"4,751 MW","54,906 MW","66,359 MW",2021-07-16 10:32:53
"4,751 MW","54,906 MW","66,359 MW",2021-07-16 10:33:03
"4,751 MW","54,906 MW","66,359 MW",2021-07-16 10:33:13
"4,759 MW","54,906 MW","66,359 MW",2021-07-16 10:33:23
"4,759 MW","54,906 MW","66,359 MW",2021-07-16 10:33:33
"4,759 MW","54,906 MW","66,359 MW",2021-07-16 10:33:43
"4,759 MW","54,906 MW","66,359 MW",2021-07-16 10:33:53
"4,759 MW","54,906 MW","66,359 MW",2021-07-16 10:34:03
"4,759 MW","54,906 MW","66,359 MW",2021-07-16 10:34:13
"4,781 MW","54,906 MW","66,359 MW",2021-07-16 10:34:23
"4,781 MW","54,906 MW","66,359 MW",2021-07-16 10:34:33
"4,781 MW","54,906 MW","66,359 MW",2021-07-16 10:34:43
"4,781 MW","54,906 MW","66,359 MW",2021-07-16 10:34:53
"4,781 MW","54,906 MW","66,359 MW",2021-07-16 10:35:03
"4,781 MW","54,906 MW","66,359 MW",2021-07-16 10:35:13
"4,799 MW","54,906 MW","66,359 MW",2021-07-16 10:35:23
"4,799 MW","54,906 MW","66,359 MW",2021-07-16 10:35:33
"4,799 MW","54,906 MW","66,359 MW",2021-07-16 10:35:43
"4,799 MW","54,906 MW","66,359 MW",2021-07-16 10:35:53
"4,799 MW","54,906 MW","66,359 MW",2021-07-16 10:36:03
"4,799 MW","54,906 MW","66,359 MW",2021-07-16 10:36:13
"4,884 MW","54,906 MW","66,359 MW",2021-07-16 10:36:23
